Date,Name,Year,Letterboxd URI,Rating
2024-08-07,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,3.5
2024-08-07,Failure to Launch,2006,https://boxd.it/21lW,0.5
2024-08-08,About Time,2013,https://boxd.it/43bI,4.5
2024-08-08,A Quiet Place,2018,https://boxd.it/fVJQ,4
2024-08-08,The Lego Movie,2014,https://boxd.it/4pDO,4
2024-08-09,Game Night,2018,https://boxd.it/fRtu,4.5
2024-08-09,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2024-08-10,Late Night with the Devil,2023,https://boxd.it/zo6G,4.5
2024-08-10,Civil War,2024,https://boxd.it/z1jW,3.5
2024-08-10,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2024-08-11,The Beekeeper,2024,https://boxd.it/wJzS,2.5
2024-08-12,Monkey Man,2024,https://boxd.it/kvsO,4
2024-08-13,Green Book,2018,https://boxd.it/hErk,4.5
2024-08-14,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,4
2024-08-14,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,2
2024-08-15,1917,2019,https://boxd.it/jj4y,4
2024-08-15,Pig,2021,https://boxd.it/nzoW,3.5
2024-08-16,Despicable Me 4,2024,https://boxd.it/iOLG,2.5
2024-08-17,Ferrari,2023,https://boxd.it/cEtq,2.5
2024-08-18,Matilda,1996,https://boxd.it/1VhY,3.5
2024-08-19,Roald Dahl's Matilda the Musical,2022,https://boxd.it/oToE,3.5
2024-08-19,Wanted,2008,https://boxd.it/1ZBS,2.5
2024-08-20,Inside Out 2,2024,https://boxd.it/CFrC,4
2024-08-21,[REC]⁴ Apocalypse,2014,https://boxd.it/5CE8,2
2024-08-21,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4.5
2024-08-23,Beethoven,1992,https://boxd.it/1T36,2.5
2024-08-23,Soul,2020,https://boxd.it/ioLA,4
2024-08-23,57 Seconds,2023,https://boxd.it/zkZW,2.5
2024-08-24,The Accountant,2016,https://boxd.it/9EhI,3.5
2024-08-24,The Proposal,2009,https://boxd.it/1HiS,3
2024-08-26,Fruitvale Station,2013,https://boxd.it/4VRy,3.5
2024-08-27,Disturbia,2007,https://boxd.it/20rk,3.5
2024-08-27,Chef,2014,https://boxd.it/6lCG,4
2024-08-27,The Fly,1986,https://boxd.it/1YIe,3.5
2024-08-28,Juno,2007,https://boxd.it/210a,4
2024-08-28,Gravity,2013,https://boxd.it/GZY,2
2024-08-28,Climax,2018,https://boxd.it/ikvo,3.5
2024-08-29,This Is the End,2013,https://boxd.it/3GB4,3.5
2024-08-29,Predestination,2014,https://boxd.it/6bJM,3.5
2024-08-30,Dracula Untold,2014,https://boxd.it/H4u,2.5
2024-08-30,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2024-08-31,The Game,1997,https://boxd.it/26vC,3
2024-09-01,Timecrimes,2007,https://boxd.it/1OGM,4
2024-09-01,Immaculate,2024,https://boxd.it/Douw,1
2024-09-02,Neighbors,2014,https://boxd.it/5Txe,2.5
2024-09-02,Neighbors 2: Sorority Rising,2016,https://boxd.it/aA80,2.5
2024-09-03,The Teachers' Lounge,2023,https://boxd.it/BINY,3.5
2024-09-03,Venom: Let There Be Carnage,2021,https://boxd.it/llco,1.5
2024-09-04,Knives Out,2019,https://boxd.it/jWEA,4.5
2024-09-06,Beetlejuice,1988,https://boxd.it/24QI,5
2024-09-08,Trainspotting,1996,https://boxd.it/29XY,4
2024-09-08,Trap,2024,https://boxd.it/D4nK,2.5
2024-09-09,X,2022,https://boxd.it/sxVa,3
2024-09-09,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
